StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Gender_4_TEXT,age_1,marital,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_7,Ethnicity_8,Ethnicity_-99,Ethnicity_8_TEXT,Income,sex_or,Education,Moderators2_t_First Click,Moderators2_t_Last Click,Moderators2_t_Page Submit,Moderators2_t_Click Count,PROLIFIC_PID,GrpNum,STUDY_ID,SESSION_ID
4/10/2024 12:43,4/10/2024 12:43,0,72.47.161.108,100,16,1,4/10/2024 12:43,R_7BOdUHEQJoXJ1oB,,,,,35.8928,-77.5406,anonymous,EN,1,,21,1,,,1,,,,,,,,2,1,2,1.114,14.399,15.43,8,63ea76a647a11b87cee26cd5,15,6616a611b1d4fd89aac7dfaa,6616eb9915ce4924c10a0f9c
4/10/2024 12:44,4/10/2024 12:45,0,68.101.30.215,100,30,1,4/10/2024 12:45,R_2ByZk4qaHSEW23f,,,,,30.7806,-86.4965,anonymous,EN,1,,61,2,,1,,,,,,,,,3,1,2,2.141,26.82,29.937,7,58cd449293499d00013488fe,11,6616a611b1d4fd89aac7dfaa,6616ebd1ba83000e77f9d8a2
4/10/2024 12:45,4/10/2024 12:46,0,24.172.77.74,100,15,1,4/10/2024 12:46,R_3VQ9p5pXkTTn5NT,,,,,35.3135,-81.5599,anonymous,EN,1,,28,2,,1,,,,,,,,,3,1,3,1.696,14,14.737,8,5f07707fb5dc861477ffc395,12,6616a611b1d4fd89aac7dfaa,6616ec24b64fa94fb6826287
4/10/2024 12:46,4/10/2024 12:46,0,158.106.219.234,100,17,1,4/10/2024 12:46,R_8tgjslvaGW9kc30,,,,,40.7365,-74.0055,anonymous,EN,2,,43,3,,1,,,,,,,,,6,1,5,1.366,15.837,16.963,7,60fd7cca95936026b622beee,6,6616a611b1d4fd89aac7dfaa,6616ec715395a65db9e2d360
4/10/2024 12:46,4/10/2024 12:47,0,67.240.200.9,100,24,1,4/10/2024 12:47,R_2OcAQ1IvBXhiWQK,,,,,43.2143,-77.9392,anonymous,EN,1,,27,1,,1,,,,,,,,,2,3,4,1.059,20.785,23.368,10,5b2a7c5e28c8850001e7f0e1,16,6616a611b1d4fd89aac7dfaa,6616ec7795a942c98c08158b
4/10/2024 12:48,4/10/2024 12:48,0,138.9.173.248,100,17,1,4/10/2024 12:48,R_3mND2aU2jtSOUnv,,,,,37.9822,-121.3126,anonymous,EN,1,,21,1,,1,,,,1,,,,,6,1,2,1.094,15.808,17.29,8,6110cb9fd3ba23cecacc8fc4,18,6616a611b1d4fd89aac7dfaa,6616ece029d63b5d1e8018fd
4/10/2024 12:48,4/10/2024 12:48,0,174.244.130.117,100,22,1,4/10/2024 12:48,R_5GuDPves7dUF5mV,,,,,40.6739,-73.9358,anonymous,EN,1,,37,2,,,,,1,,,,,,6,1,5,0.86,21.311,21.887,18,660d5970f490ee0a5449a1b4,15,6616a611b1d4fd89aac7dfaa,6616ecc84b93be37299d5c8c
4/10/2024 12:48,4/10/2024 12:49,0,24.23.184.146,100,26,1,4/10/2024 12:49,R_7Es26YpK7hrEWqg,,,,,37.7618,-121.9133,anonymous,EN,2,,25,1,,,,,1,,,,,,6,1,4,1.046,24.817,25.808,8,5eadd264593baa0df31702d5,2,6616a611b1d4fd89aac7dfaa,6616ecfdc8e808ddb1330e66
4/10/2024 12:49,4/10/2024 12:49,0,173.171.97.14,100,28,1,4/10/2024 12:49,R_7JFIIfvK9x2jQRP,,,,,28.1951,-81.6062,anonymous,EN,2,,19,1,,,1,,,,,,,,6,1,3,2.06,26.907,28.317,8,66143f0bac2f0101e72b16ed,6,6616a611b1d4fd89aac7dfaa,6616ecf6c13bfacff56fe843
4/10/2024 12:48,4/10/2024 12:49,0,72.78.77.205,100,40,1,4/10/2024 12:49,R_5K8PqYGC8rk127l,,,,,39.952,-75.1814,anonymous,EN,1,,28,1,,,,,1,,,,,,2,1,4,0.986,38.318,39.814,7,60d35818b8957f3c1c0619d0,1,6616a611b1d4fd89aac7dfaa,6616ecf3bb5d9e9842733091
4/10/2024 12:49,4/10/2024 12:49,0,98.169.78.181,100,22,1,4/10/2024 12:49,R_7KvZH9UPHgiITY1,,,,,38.8452,-77.4651,anonymous,EN,1,,66,2,,1,,,,,,,,,6,1,4,5.52,20.977,22.101,7,5c75d4d6b80b460014bd0373,9,6616a611b1d4fd89aac7dfaa,6616ecf0e7aa81fbd60df964
4/10/2024 12:49,4/10/2024 12:49,0,66.108.68.134,100,31,1,4/10/2024 12:49,R_5Btimxpf2pGLesP,,,,,40.7033,-73.8038,anonymous,EN,3,,34,1,,,1,1,,,,,,,1,3,4,9.441,28.688,29.917,9,65c17320210de766c44c9e75,17,6616a611b1d4fd89aac7dfaa,6616ed178085116d13ffe30b
4/10/2024 12:49,4/10/2024 12:50,0,76.122.52.66,100,24,1,4/10/2024 12:50,R_6VscqjeXA8N2Czt,,,,,30.3511,-81.506,anonymous,EN,2,,18,1,,,,,,,,1,,Southeast Asian,2,1,2,1.178,22.049,23.772,8,65dbf1117655910a2a85d236,4,6616a611b1d4fd89aac7dfaa,6616ed0aa86f4186ab4a2e6f
4/10/2024 12:49,4/10/2024 12:50,0,71.117.160.211,100,16,1,4/10/2024 12:50,R_3ixKqSkCrJ5EIGL,,,,,41.8165,-71.415,anonymous,EN,2,,21,1,,1,,,,,,,,,6,1,2,1.276,13.753,15.117,8,5ea5a441b9696a01179b66ed,10,6616a611b1d4fd89aac7dfaa,6616ed324a1c6387856b1eb9
4/10/2024 12:49,4/10/2024 12:50,0,71.63.92.200,100,22,1,4/10/2024 12:50,R_5PY3fw25CfFhjDI,,,,,38.4077,-82.4405,anonymous,EN,2,,22,1,,1,,,,,,,,,1,1,4,1.989,20.322,21.408,8,6501f6cff9ca27a1c140d731,8,6616a611b1d4fd89aac7dfaa,6616ed319f30b7c9a77ded2a
4/10/2024 12:50,4/10/2024 12:50,0,72.185.241.243,100,16,1,4/10/2024 12:50,R_7rJ8jGUWBNNmZwo,,,,,27.9482,-82.5036,anonymous,EN,2,,27,2,,,,,,1,,,,,6,1,4,1.423,14.316,15.459,8,65cbd79639769b5d2aaa8451,12,6616a611b1d4fd89aac7dfaa,6616ed34e0f47bcad8b3fd9d
4/10/2024 12:50,4/10/2024 12:50,0,173.31.106.224,100,19,1,4/10/2024 12:50,R_2HctTO63E4rC7sp,,,,,41.9504,-91.6897,anonymous,EN,2,,32,3,,1,,,,,,,,,2,2,2,1.605,16.761,18.519,7,592d00d3b885e8000191bc39,3,6616a611b1d4fd89aac7dfaa,6616ed36f15d6ac34ca9ba9c
4/10/2024 12:50,4/10/2024 12:50,0,47.227.233.46,100,21,1,4/10/2024 12:50,R_5ESU4IUxUFP7Pi1,,,,,39.9714,-86.1295,anonymous,EN,2,,44,2,,1,,,,,,,,,6,1,2,1.429,17.081,20.768,8,5639a8adbe9cac000daaa30f,13,6616a611b1d4fd89aac7dfaa,6616ed3527af7b6595bd282f
4/10/2024 12:50,4/10/2024 12:50,0,104.33.190.95,100,20,1,4/10/2024 12:50,R_5imMrgU2eFefIt3,,,,,34.7471,-118.3687,anonymous,EN,2,,44,2,,1,,,,,,,,,6,1,3,2.801,17.553,19.501,7,62a4b2a2831b53dc1beeaab3,5,6616a611b1d4fd89aac7dfaa,6616ed30b7e65940e5c6ed23
4/10/2024 12:50,4/10/2024 12:50,0,98.47.228.57,100,12,1,4/10/2024 12:50,R_165aNwYV291LL5Z,,,,,37.3773,-122.0194,anonymous,EN,2,,29,1,,,,,1,,,,,,3,1,4,0.807,10.943,11.813,8,6160e0e3a8156e01fe3e95a6,16,6616a611b1d4fd89aac7dfaa,6616ed5110503bd4d154515e
4/10/2024 12:50,4/10/2024 12:50,0,71.117.164.147,100,25,1,4/10/2024 12:50,R_3Mz0XfrWiK3uOMp,,,,,41.7139,-71.3895,anonymous,EN,1,,25,1,,,,,1,,,,,,3,1,3,2.231,24.967,25.326,13,5fe7c718fd62fb638c111cda,12,6616a611b1d4fd89aac7dfaa,6616ed5cdfc663dff9606508
4/10/2024 12:50,4/10/2024 12:50,0,172.58.231.181,100,21,1,4/10/2024 12:50,R_7TjncuEpPIPxAoV,,,,,40.839,-73.946,anonymous,EN,3,,23,1,,1,,,,,,,,,5,3,4,1.02,19.641,20.871,17,61132361275e08754e30c2db,18,6616a611b1d4fd89aac7dfaa,6616ed5bdf29f908c7f01d85
4/10/2024 12:50,4/10/2024 12:50,0,75.67.214.194,100,22,1,4/10/2024 12:50,R_1nwrpTZJYB9moDt,,,,,43.17,-73.0527,anonymous,EN,1,,34,2,,1,,,,,,,,,3,1,4,1.867,20.116,21.633,8,5ed40ddff615650a50f1cbb2,5,6616a611b1d4fd89aac7dfaa,6616ed42e3f02e77676752d2
4/10/2024 12:50,4/10/2024 12:50,0,107.128.40.253,100,25,1,4/10/2024 12:50,R_5eS5PQZNMdCwIDv,,,,,34.1563,-118.0868,anonymous,EN,2,,32,1,,1,,,,,,,,,1,3,5,2.359,22.723,24.134,12,5fc17c03d0cabf16011a647b,7,6616a611b1d4fd89aac7dfaa,6616ed0b10503bd4d154514b
4/10/2024 12:50,4/10/2024 12:51,0,107.221.137.204,100,35,1,4/10/2024 12:51,R_2xQdkrzERM4my70,,,,,29.7738,-95.406,anonymous,EN,2,,54,2,,1,,,,,,,,,2,1,3,4.267,33.018,34.572,8,65ccf7acb72d141f952ec5d0,11,6616a611b1d4fd89aac7dfaa,6616ed2451f61b24642fba00
4/10/2024 12:50,4/10/2024 12:51,0,72.200.104.109,100,18,1,4/10/2024 12:51,R_3h5PXV6MsOl716B,,,,,33.3504,-111.782,anonymous,EN,1,,26,1,,1,,,,1,,,,,3,1,3,0.73,15.453,17.443,8,62796bcdbbd853337a4b80a2,14,6616a611b1d4fd89aac7dfaa,6616ed27ef7388d903a2aeab
4/10/2024 12:50,4/10/2024 12:51,0,107.77.201.95,100,39,1,4/10/2024 12:51,R_3gpenG4Gr0vqYjn,,,,,32.7797,-96.8022,anonymous,EN,2,,32,2,,1,,,,,,,,,4,1,5,1.116,37.13,38.024,7,60fcde7858e7b5e782c587e3,2,6616a611b1d4fd89aac7dfaa,6616ed61a57eaa2b5cd59768
4/10/2024 12:51,4/10/2024 12:51,0,172.59.80.18,100,32,1,4/10/2024 12:51,R_7EJRoeueNz3lhiY,,,,,38.2577,-85.7098,anonymous,EN,2,,26,1,,,1,,,,,,,,2,2,4,2.037,30.509,31.966,12,62e073721cd1f5f6cff50910,1,6616a611b1d4fd89aac7dfaa,6616ed7b83b77849ef8612da
4/10/2024 12:51,4/10/2024 12:51,0,68.230.157.251,100,21,1,4/10/2024 12:51,R_3MIDPPkzc2bKOdj,,,,,41.7689,-71.4758,anonymous,EN,1,,45,2,,1,,,,,,,,,6,1,5,1.235,18.902,20.676,7,5dd6abfb428d61634c13c32c,15,6616a611b1d4fd89aac7dfaa,6616ed6db5024c13df19ddcd
4/10/2024 12:51,4/10/2024 12:51,0,73.110.191.216,100,18,1,4/10/2024 12:51,R_71hhWPYUDlwxjxv,,,,,42.1689,-87.8546,anonymous,EN,2,,23,1,,1,,,,,,,,,2,1,4,2.697,17.039,17.987,7,611af624e2e6ecca99ad6341,9,6616a611b1d4fd89aac7dfaa,6616ed79987036e246a79cda
4/10/2024 12:51,4/10/2024 12:52,0,24.14.140.127,100,20,1,4/10/2024 12:52,R_7Di7oRKzjwGQcFf,,,,,41.6746,-86.0851,anonymous,EN,3,,29,2,,1,,,,,,,,,2,3,3,1.561,19.157,19.899,16,65df7f682f13533a1e7a04cb,6,6616a611b1d4fd89aac7dfaa,6616ed50be750e43a60ae0fd
4/10/2024 12:51,4/10/2024 12:52,0,100.14.12.201,100,21,1,4/10/2024 12:52,R_1pu1XURLXV53tEq,,,,,40.0364,-75.2219,anonymous,EN,1,,39,2,,1,,,,,,,,,6,1,4,2.436,19.918,21.17,14,614f6e13b231c559fad456d9,10,6616a611b1d4fd89aac7dfaa,6616ed813324d9de9508d429
4/10/2024 12:52,4/10/2024 12:52,0,73.36.36.188,100,25,1,4/10/2024 12:52,R_72xTFRoNROJ3d09,,,,,41.4893,-88.159,anonymous,EN,3,,25,2,,1,,,,,,,,,-99,3,2,1.748,21.943,25.417,8,5ba89617c92fc8000127412f,17,6616a611b1d4fd89aac7dfaa,6616edb9bbac762b031ce49f
4/10/2024 12:52,4/10/2024 12:52,0,73.183.197.51,100,26,1,4/10/2024 12:52,R_3curqKZ2Q6Q7OXI,,,,,29.7023,-95.4592,anonymous,EN,1,,45,2,,,,,1,,,,,,6,1,4,1.178,24.636,25.301,24,63d13db46fcdc6c9b429e2e7,8,6616a611b1d4fd89aac7dfaa,6616edac4328cafb30ea7b6a
4/10/2024 12:52,4/10/2024 12:52,0,173.62.203.188,100,22,1,4/10/2024 12:52,R_3sRsm1mBtoD9ZJ6,,,,,39.6732,-75.7121,anonymous,EN,3,,29,1,,1,,,,,,,,,3,2,4,1.898,19.794,20.527,11,64412c367c6a0144acd0785c,4,6616a611b1d4fd89aac7dfaa,6616ed7555af237dde343086
4/10/2024 12:52,4/10/2024 12:52,0,173.76.199.212,100,22,1,4/10/2024 12:52,R_7JRYhZyJrefc4ar,,,,,42.2546,-71.4564,anonymous,EN,1,,35,3,,,,,,1,,,,,6,2,5,1.321,20.339,21.962,8,65b84788b0a24fc4e6fc33d4,11,6616a611b1d4fd89aac7dfaa,6616edc0b7e65940e5c6ed39
4/10/2024 12:52,4/10/2024 12:52,0,131.93.146.161,100,17,1,4/10/2024 12:53,R_3NILfXnkJqvkAi8,,,,,46.4604,-90.1616,anonymous,EN,1,,30,2,,1,,,,,,,,,4,1,2,0.979,16.085,16.859,21,5623f6afed6e5a000bc7f219,8,6616a611b1d4fd89aac7dfaa,6616ede4e1189f571ee2c1d5
4/10/2024 12:52,4/10/2024 12:53,0,98.14.176.234,100,27,1,4/10/2024 12:53,R_70YISkhSg8AGFPI,,,,,40.7513,-73.8244,anonymous,EN,2,,25,1,,1,,,,,,,,,2,3,3,1.761,24.642,26.844,8,60fe416249894ff6470c2dd4,13,6616a611b1d4fd89aac7dfaa,6616edcc6fb92bbccc9d5d21
4/10/2024 12:52,4/10/2024 12:53,0,24.4.36.161,100,20,1,4/10/2024 12:53,R_2kgYpnRMqKG6Vqx,,,,,37.7703,-122.4407,anonymous,EN,2,,21,1,,,,,1,,,,,,6,1,3,1.711,18.246,19.454,10,5d5809017d795e001988c0d4,9,6616a611b1d4fd89aac7dfaa,6616edefed431590673c108d
4/10/2024 12:52,4/10/2024 12:53,0,71.86.50.144,100,29,1,4/10/2024 12:53,R_3rHRgPSTlPcAP1W,,,,,38.812,-89.9627,anonymous,EN,2,,23,1,,1,,,,,,,,,2,1,4,1.339,27.539,29.176,9,5f63a44eab61a10c3fc59075,11,6616a611b1d4fd89aac7dfaa,6616ede061342a74196064d0
4/10/2024 12:52,4/10/2024 12:53,0,107.140.133.40,100,36,1,4/10/2024 12:53,R_52S4lrEYpcx3Obq,,,,,35.1046,-81.2168,anonymous,EN,2,,39,1,,,1,,,,,,,,1,1,2,1.308,34.795,35.69,30,5ee834d45f0f48129a79b683,13,6616a611b1d4fd89aac7dfaa,6616edc35780ea30b90a1125
4/10/2024 12:52,4/10/2024 12:53,0,156.110.204.34,100,17,1,4/10/2024 12:53,R_5Ph6JdbEySASSoP,,,,,35.982,-96.7442,anonymous,EN,2,,49,2,,1,,,,,,,,,2,1,2,1.504,16.133,17.002,7,5750a40d6c3d370007d1a373,3,6616a611b1d4fd89aac7dfaa,6616edd9c89a95cee2420927
4/10/2024 12:52,4/10/2024 12:53,0,24.18.117.196,100,14,1,4/10/2024 12:53,R_5HNE0vsx4uXrJOp,,,,,47.5079,-122.1773,anonymous,EN,2,,28,2,,1,,,,,,,,,6,1,5,1.048,12.687,13.856,7,5cacd539c8e337001dbf3bd1,14,6616a611b1d4fd89aac7dfaa,6616edbd5fb7f510a6714ea1
4/10/2024 12:53,4/10/2024 12:53,0,76.18.231.54,100,29,1,4/10/2024 12:53,R_5qQKUyFX05j9zoE,,,,,30.3007,-81.4421,anonymous,EN,1,,35,1,,,,1,,,,,,,3,1,3,4.318,26.255,27.985,7,5ab85787a3ba7a0001b41428,3,6616a611b1d4fd89aac7dfaa,6616edaf101275fef3e4d4ba
4/10/2024 12:53,4/10/2024 12:53,0,148.76.124.180,100,30,1,4/10/2024 12:53,R_7SiYkrX5UlnIZOH,,,,,40.872,-74.7448,anonymous,EN,2,,40,2,,1,,,,,,,,,6,1,4,4.086,25.44,29.262,8,5c0abcc49f5dfb00011cf6a6,1,6616a611b1d4fd89aac7dfaa,6616edfc54ce72b156e4d332
4/10/2024 12:53,4/10/2024 12:53,0,174.174.187.146,100,38,1,4/10/2024 12:53,R_1rG6UwDJ4xGwtTi,,,,,42.7686,-86.117,anonymous,EN,2,,52,1,,1,,,,,,,,,3,1,4,7.078,21.75,38.064,17,63d15407ce785edec3ee00c6,7,6616a611b1d4fd89aac7dfaa,6616ed90a615a367b1f1f6fb
4/10/2024 12:53,4/10/2024 12:53,0,172.58.122.218,100,19,1,4/10/2024 12:53,R_3jZoYL8SxV9DaHW,,,,,42.4261,-83.2514,anonymous,EN,2,,47,2,,1,,,,,,,,,6,1,4,1.736,17.178,18.929,7,63ffb67634be3d959f3ff793,2,6616a611b1d4fd89aac7dfaa,6616ee0b5bb0ec8d878f2e38
4/10/2024 12:54,4/10/2024 12:54,0,128.223.223.52,100,17,1,4/10/2024 12:54,R_1Emfw0TjjIfWBTa,,,,,44.0358,-123.0576,anonymous,EN,2,,20,1,,1,,,,,,,,,6,2,2,1.603,16.053,17.146,9,60fd25562f38d555f7f1ac67,5,6616a611b1d4fd89aac7dfaa,6616ee348cf53a398d15a017
4/10/2024 12:54,4/10/2024 12:55,0,47.218.19.163,100,19,1,4/10/2024 12:55,R_26lrOvSe5KCUsHw,,,,,32.4257,-99.7053,anonymous,EN,1,,32,2,,1,,,,,,,,,6,1,4,1.824,16.522,18.596,7,64b157e3d05cb239aaab93c7,10,6616a611b1d4fd89aac7dfaa,6616ee4ad6967636567f8244
4/10/2024 12:54,4/10/2024 12:55,0,172.56.74.162,100,76,1,4/10/2024 12:55,R_3XxFWTiQfZzzigx,,,,,28.4883,-81.4061,anonymous,EN,1,,29,3,,1,,,,,,,,,4,1,3,5.583,73.633,74.572,21,628fb1691d85e1d9b9fbca18,12,6616a611b1d4fd89aac7dfaa,6616ee0ae40f85b94a2fba92
4/10/2024 12:55,4/10/2024 12:55,0,174.72.135.39,100,19,1,4/10/2024 12:55,R_3rl4rE2qadTOYkL,,,,,36.1236,-115.2757,anonymous,EN,1,,27,1,,,,,,1,,,,,1,3,4,1.753,17.488,18.822,7,64419eea73bd0b3faed4b3d2,6,6616a611b1d4fd89aac7dfaa,6616ee56d0da0897f2dcdc1f
4/10/2024 12:55,4/10/2024 12:55,0,73.205.201.209,100,16,1,4/10/2024 12:55,R_25SdFVSP7YIgutw,,,,,25.6062,-80.3452,anonymous,EN,1,,26,1,,1,,,,,,,,,3,1,2,0.8,15.218,16.214,7,5be299deca095c0001ba3035,16,6616a611b1d4fd89aac7dfaa,6616ee7e411cd29c25c0cd70
4/10/2024 12:55,4/10/2024 12:55,0,108.147.176.107,100,24,1,4/10/2024 12:55,R_1BPfz8ToJzYkfEK,,,,,39.0452,-94.7189,anonymous,EN,2,,53,1,,1,,,,,,,,,2,1,5,3.126,22.303,23.379,7,60c81a232837d9f7d4a641bf,17,6616a611b1d4fd89aac7dfaa,6616ee52ac6c74dd72156c5d
4/10/2024 12:55,4/10/2024 12:55,0,168.245.163.90,100,16,1,4/10/2024 12:55,R_3fvBuRtX9neZoMW,,,,,36.1732,-85.4536,anonymous,EN,1,,22,1,,1,,,,,,,,,3,1,2,1.779,14.438,15.832,7,60fa2e13870d7bb57b21427f,4,6616a611b1d4fd89aac7dfaa,6616ee4ba26801f36df1f765
4/10/2024 12:55,4/10/2024 12:55,0,140.186.27.131,100,41,1,4/10/2024 12:55,R_5JiFop2iLtjC3OV,,,,,46.7952,-96.8332,anonymous,EN,2,,34,-99,,,,1,,,,,,,2,1,2,3.3,37.663,39.892,18,661148570d4e4428249eba3e,17,6616a611b1d4fd89aac7dfaa,6616ee3f830e8d3f6ca95640
4/10/2024 12:55,4/10/2024 12:55,0,76.252.250.213,100,17,1,4/10/2024 12:55,R_2lAournfnOxmYk3,,,,,34.6428,-86.8206,anonymous,EN,1,,57,2,,1,,,,,,,,,6,1,5,1.451,15.283,16.575,7,615d7e681c930db4365ca2d0,18,6616a611b1d4fd89aac7dfaa,6616ee8bb7e65940e5c6ed58
4/10/2024 12:55,4/10/2024 12:56,0,173.26.192.65,100,21,1,4/10/2024 12:56,R_6AXNMZ6M6DngOqI,,,,,41.0072,-95.2261,anonymous,EN,2,,47,2,,1,,,,,,,,,2,1,4,2.447,18.935,20.802,8,5dfaa06b5005cc807174ba46,7,6616a611b1d4fd89aac7dfaa,6616ee5f101275fef3e4d4eb
